file,score,decision,reason
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0000.wav,0.024364,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0001.wav,0.462634,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0002.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0003.wav,0.410547,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0004.wav,,OTHER,too_short(1.20s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0005.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0006.wav,0.494636,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0007.wav,,OTHER,too_short(1.08s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0008.wav,,OTHER,too_short(1.52s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0009.wav,,OTHER,too_short(1.38s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0000.wav,0.024364,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0001.wav,0.462634,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0002.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0003.wav,0.410547,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0004.wav,,OTHER,too_short(1.20s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0005.wav,,OTHER,too_short(1.30s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0006.wav,0.494636,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0007.wav,,OTHER,too_short(1.08s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0008.wav,,OTHER,too_short(1.52s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0009.wav,,OTHER,too_short(1.38s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0010.wav,,OTHER,too_short(1.00s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0011.wav,0.474968,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0012.wav,,OTHER,too_short(0.90s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0013.wav,0.069637,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0014.wav,,OTHER,too_short(0.52s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0015.wav,0.521038,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0016.wav,0.081765,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0017.wav,,OTHER,too_short(0.68s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0018.wav,,OTHER,too_short(0.40s)
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0019.wav,0.624881,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0020.wav,0.120662,OTHER,
I:\Record_chunks\A Teenager's Struggle_ Navigating Sexuality and Mental Health_sent0021.wav,0.328158,OTHER,
